epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,609.033,1.11737,0.63785,0.02055,0.99661,0.84688,0.9226,0.60649,1.35815,0.95994,0.03681,0.000606074,0.000606074,0.000606074
92,618.382,1.11189,0.85575,0.02231,1,0.91957,0.93211,0.60799,1.39319,0.87767,0.03741,0.000594286,0.000594286,0.000594286
93,628.378,1.10923,0.7387,0.02004,1,0.91957,0.93211,0.60799,1.39319,0.87767,0.03741,0.000582497,0.000582497,0.000582497
94,636.78,1.10114,0.89715,0.01892,0.98863,0.89209,0.93189,0.56248,1.5013,0.81202,0.04015,0.000570709,0.000570709,0.000570709
95,644.279,1.06018,0.72474,0.01754,0.85691,0.85714,0.9244,0.50254,1.66915,1.00491,0.04466,0.000558921,0.000558921,0.000558921
96,652.341,1.29875,0.84158,0.02962,0.91596,0.85714,0.92074,0.50033,1.71572,0.92012,0.04555,0.000547133,0.000547133,0.000547133
97,661.007,1.09982,0.97668,0.01878,0.91596,0.85714,0.92074,0.50033,1.71572,0.92012,0.04555,0.000535345,0.000535345,0.000535345
98,669.985,1.07261,0.66034,0.01845,0.75218,0.92857,0.83329,0.49954,1.64234,0.90632,0.04383,0.000523557,0.000523557,0.000523557
99,678.334,0.99598,0.51613,0.01837,0.70905,0.89157,0.83517,0.5193,1.46392,0.95923,0.03932,0.000511769,0.000511769,0.000511769
100,684.185,1.07885,0.76787,0.02289,0.76314,0.7619,0.80261,0.50543,1.3296,0.79447,0.03655,0.000499981,0.000499981,0.000499981
101,689.804,0.96296,0.66859,0.01716,0.76314,0.7619,0.80261,0.50543,1.3296,0.79447,0.03655,0.000488193,0.000488193,0.000488193
102,695.591,1.09668,0.79867,0.02343,0.67588,0.98528,0.80261,0.51272,1.28615,0.74075,0.03539,0.000476405,0.000476405,0.000476405
103,701.912,1.06474,0.93566,0.02134,0.7263,0.97811,0.80942,0.52772,1.2845,0.69451,0.0345,0.000464617,0.000464617,0.000464617
104,709.507,1.22568,0.69512,0.02202,0.77439,0.91685,0.85507,0.53242,1.34258,0.74218,0.03495,0.000452829,0.000452829,0.000452829
105,715.595,1.16507,0.65607,0.01867,0.77439,0.91685,0.85507,0.53242,1.34258,0.74218,0.03495,0.000441041,0.000441041,0.000441041
106,722.204,0.89813,0.63153,0.0184,0.76046,0.92857,0.85507,0.52534,1.41643,0.73727,0.03586,0.000429253,0.000429253,0.000429253
107,728.343,0.89009,0.5377,0.01703,0.77644,0.92857,0.84517,0.54066,1.44362,0.72114,0.03592,0.000417464,0.000417464,0.000417464
108,735.028,1.00196,0.90213,0.01855,0.72326,0.88067,0.81229,0.49736,1.54546,0.87979,0.03868,0.000405676,0.000405676,0.000405676
109,741.955,1.22967,0.73547,0.0174,0.72326,0.88067,0.81229,0.49736,1.54546,0.87979,0.03868,0.000393888,0.000393888,0.000393888
110,748.82,0.97664,0.58532,0.01995,0.8623,0.92857,0.83563,0.5336,1.58249,0.75344,0.03983,0.0003821,0.0003821,0.0003821
