epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,369.534,1.30029,1.14913,0.02159,0.74089,0.69012,0.76804,0.38199,1.82801,1.00569,0.0597,0.000742815,0.000742815,0.000742815
86,373.696,1.35961,0.81186,0.02637,0.75193,0.72728,0.73661,0.36835,1.75927,0.95235,0.05571,0.000731813,0.000731813,0.000731813
87,377.839,0.96275,0.73872,0.01759,0.78898,0.74734,0.7468,0.4083,1.6261,1.03434,0.04783,0.000720811,0.000720811,0.000720811
88,381.977,1.00305,0.8074,0.0175,0.87399,0.7619,0.80224,0.47808,1.39905,1.02861,0.03909,0.000709809,0.000709809,0.000709809
89,386.097,1.14706,0.88374,0.01857,0.87399,0.7619,0.80224,0.47808,1.39905,1.02861,0.03909,0.000698806,0.000698806,0.000698806
90,390.255,0.92298,0.59474,0.01447,0.93433,0.74406,0.86271,0.55614,1.10938,0.98076,0.03035,0.000687804,0.000687804,0.000687804
91,394.361,1.11219,0.7576,0.02077,0.96383,0.75177,0.8458,0.5763,1.15074,0.76791,0.03009,0.000676802,0.000676802,0.000676802
92,398.554,1.29599,0.92468,0.02418,0.96791,0.7619,0.846,0.57861,1.17359,0.71065,0.03256,0.0006658,0.0006658,0.0006658
93,402.752,1.20316,1.07471,0.02383,0.96791,0.7619,0.846,0.57861,1.17359,0.71065,0.03256,0.000654798,0.000654798,0.000654798
94,407.069,1.23016,0.86693,0.02112,0.93179,0.76452,0.85152,0.58867,1.2542,0.64039,0.03627,0.000643795,0.000643795,0.000643795
95,411.298,1.07569,0.71552,0.01761,0.93864,0.7619,0.8405,0.56124,1.3923,0.6828,0.03925,0.000632793,0.000632793,0.000632793
96,415.5,1.30545,1.14142,0.02909,0.95037,0.7619,0.84356,0.55289,1.37047,0.6899,0.03783,0.000621791,0.000621791,0.000621791
97,419.594,1.06262,0.96998,0.01853,0.95037,0.7619,0.84356,0.55289,1.37047,0.6899,0.03783,0.000610789,0.000610789,0.000610789
98,423.909,1.03318,0.66145,0.01697,0.89593,0.7619,0.84944,0.5519,1.31312,0.70107,0.03646,0.000599787,0.000599787,0.000599787
99,428.285,0.96229,0.62687,0.01689,0.9104,0.82968,0.87438,0.54964,1.27492,0.73986,0.03612,0.000588784,0.000588784,0.000588784
100,432.99,1.086,0.9124,0.02624,0.84225,0.82508,0.88694,0.54182,1.27521,0.85294,0.03588,0.000577782,0.000577782,0.000577782
101,437.323,1.01791,0.64073,0.01676,0.84225,0.82508,0.88694,0.54182,1.27521,0.85294,0.03588,0.00056678,0.00056678,0.00056678
102,441.77,0.9981,0.62098,0.01924,0.87452,0.7619,0.85642,0.51341,1.30559,0.78234,0.03634,0.000555778,0.000555778,0.000555778
103,446.485,0.98014,0.60408,0.01894,0.95648,0.7261,0.87971,0.51271,1.25503,0.83838,0.03535,0.000544776,0.000544776,0.000544776
104,451.18,1.15803,0.87764,0.02188,0.98068,0.74987,0.8915,0.55884,1.23191,0.7915,0.03213,0.000533773,0.000533773,0.000533773
105,455.574,1.03946,0.7152,0.0181,0.98068,0.74987,0.8915,0.55884,1.23191,0.7915,0.03213,0.000522771,0.000522771,0.000522771
106,460.16,0.87454,0.58222,0.0169,0.92583,0.73086,0.8815,0.54452,1.24582,0.7451,0.03342,0.000511769,0.000511769,0.000511769
107,464.731,1.08412,0.62458,0.01965,0.96378,0.63096,0.898,0.56574,1.31667,0.69189,0.03556,0.000500767,0.000500767,0.000500767
108,469.6,0.96032,0.85777,0.01811,0.62671,0.92857,0.88605,0.57606,1.35033,0.70004,0.03804,0.000489765,0.000489765,0.000489765
109,474.134,1.12387,0.91514,0.01603,0.62671,0.92857,0.88605,0.57606,1.35033,0.70004,0.03804,0.000478762,0.000478762,0.000478762
110,478.555,0.8911,0.59412,0.01914,0.6728,0.92115,0.88605,0.59653,1.33948,0.77751,0.03857,0.00046776,0.00046776,0.00046776
111,482.933,0.90698,0.53724,0.0167,0.67056,0.9117,0.88605,0.55863,1.31505,0.85608,0.03821,0.000456758,0.000456758,0.000456758
112,487.408,1.17795,1.08597,0.02329,0.9326,0.69048,0.90344,0.62922,1.2117,0.69646,0.03451,0.000445756,0.000445756,0.000445756
113,491.827,0.92567,0.7521,0.01646,0.9326,0.69048,0.90344,0.62922,1.2117,0.69646,0.03451,0.000434754,0.000434754,0.000434754
114,496.229,1.27742,0.89917,0.03383,0.79515,0.92316,0.92819,0.65261,1.13502,0.60806,0.0317,0.000423751,0.000423751,0.000423751
115,500.583,0.98892,0.57059,0.01446,0.86559,0.98401,0.95375,0.70426,1.05654,0.42193,0.0278,0.000412749,0.000412749,0.000412749
116,505.036,0.91248,0.61613,0.0164,0.71056,1,0.91525,0.67924,0.90904,0.55044,0.02372,0.000401747,0.000401747,0.000401747
117,509.404,0.97723,0.6558,0.01709,0.71056,1,0.91525,0.67924,0.90904,0.55044,0.02372,0.000390745,0.000390745,0.000390745
118,514.499,1.02303,0.69021,0.0181,0.74343,0.97332,0.945,0.71263,0.88164,0.48957,0.02305,0.000379743,0.000379743,0.000379743
119,519.32,0.90323,0.70453,0.01445,0.76794,0.98317,0.93625,0.71763,0.89386,0.47517,0.02318,0.00036874,0.00036874,0.00036874
120,523.958,0.96593,0.63596,0.0137,0.755,0.98868,0.93625,0.70365,0.90685,0.46126,0.02284,0.000357738,0.000357738,0.000357738
121,528.524,1.04914,0.54155,0.01749,0.755,0.98868,0.93625,0.70365,0.90685,0.46126,0.02284,0.000346736,0.000346736,0.000346736
122,533.486,0.8926,0.58392,0.01368,0.84687,0.83333,0.91813,0.69293,0.94381,0.5191,0.02365,0.000335734,0.000335734,0.000335734
123,538.38,0.8859,0.57624,0.01486,0.88921,0.7619,0.945,0.67273,0.97395,0.52973,0.02452,0.000324732,0.000324732,0.000324732
124,542.855,0.87992,0.57471,0.01607,0.81131,0.99171,0.95375,0.6734,1.02952,0.4299,0.02613,0.000313729,0.000313729,0.000313729
125,547.387,0.93507,0.57722,0.01676,0.81131,0.99171,0.95375,0.6734,1.02952,0.4299,0.02613,0.000302727,0.000302727,0.000302727
126,551.787,0.97407,0.6733,0.0157,0.81561,0.99187,0.95375,0.6837,1.0075,0.41877,0.02575,0.000291725,0.000291725,0.000291725
127,556.821,0.8108,0.67855,0.01265,0.97751,0.83333,0.95375,0.65279,1.00774,0.48259,0.02559,0.000280723,0.000280723,0.000280723
128,561.894,0.81941,0.70986,0.01672,0.98384,0.83333,0.95375,0.67238,1.05427,0.42208,0.02597,0.000269721,0.000269721,0.000269721
129,566.635,0.93476,0.84455,0.0145,0.98384,0.83333,0.95375,0.67238,1.05427,0.42208,0.02597,0.000258718,0.000258718,0.000258718
130,571.452,0.7893,0.47503,0.01226,0.98241,0.83333,0.929,0.63455,1.06021,0.53027,0.02535,0.000247716,0.000247716,0.000247716
131,575.721,0.81324,0.42356,0.01345,0.98537,0.83333,0.929,0.63308,1.08284,0.50238,0.02589,0.000236714,0.000236714,0.000236714
132,580.479,0.99524,0.46956,0.01945,0.95131,0.8292,0.95375,0.62747,1.11297,0.50499,0.02742,0.000225712,0.000225712,0.000225712
133,585.509,0.8302,0.59202,0.01234,0.95131,0.8292,0.95375,0.62747,1.11297,0.50499,0.02742,0.00021471,0.00021471,0.00021471
134,590.553,0.74984,0.46234,0.01526,0.93547,0.82475,0.95375,0.62305,1.1397,0.49866,0.02799,0.000203707,0.000203707,0.000203707
135,594.886,0.96649,0.71648,0.01477,0.81017,0.97469,0.95375,0.63123,1.18144,0.46961,0.02851,0.000192705,0.000192705,0.000192705
136,599.119,0.91694,0.56023,0.01763,0.82059,0.98323,0.95375,0.64208,1.18145,0.44324,0.02926,0.000181703,0.000181703,0.000181703
137,603.476,0.71727,0.51068,0.01298,0.82059,0.98323,0.95375,0.64208,1.18145,0.44324,0.02926,0.000170701,0.000170701,0.000170701
